asset_id,type,base_locality,geo_wkt,status
A001,ambulance,Velachery,POINT(80.218045 12.975857),available
A002,ambulance,Velachery,POINT(80.218158 12.973083),available
A003,ambulance,Velachery,POINT(80.222252 12.976565),available
A004,ambulance,Velachery,POINT(80.217881 12.975333),available
A005,ambulance,Velachery,POINT(80.223477 12.975090),available
A006,ambulance,Velachery,POINT(80.223326 12.975975),available
A007,ambulance,Guindy,POINT(80.212769 13.012365),available
A008,ambulance,Guindy,POINT(80.216790 13.011524),available
A009,ambulance,Guindy,POINT(80.214301 13.010422),available
A010,ambulance,Guindy,POINT(80.213369 13.011046),available
A011,ambulance,Guindy,POINT(80.215422 13.009809),available
A012,ambulance,Saidapet,POINT(80.225355 13.024023),available
A013,ambulance,Saidapet,POINT(80.223104 13.019880),available
A014,boat,Pallikaranai,POINT(80.216176 12.932972),available
A015,boat,Pallikaranai,POINT(80.212491 12.937123),available
A016,boat,Pallikaranai,POINT(80.214354 12.935734),available
A017,boat,Pallikaranai,POINT(80.215275 12.932817),available
A018,boat,Pallikaranai,POINT(80.215372 12.935136),available
A019,boat,Pallikaranai,POINT(80.210703 12.935082),available
A020,boat,Pallikaranai,POINT(80.210817 12.933845),available
A021,boat,Pallikaranai,POINT(80.215972 12.937475),available
A022,boat,Velachery,POINT(80.219345 12.977790),available
A023,boat,Velachery,POINT(80.222768 12.973148),available
A024,boat,Velachery,POINT(80.218014 12.978482),available
A025,boat,Velachery,POINT(80.217915 12.975716),available
A026,boat,Velachery,POINT(80.222095 12.977364),available
A027,boat,Velachery,POINT(80.220352 12.973570),available
A028,boat,Velachery,POINT(80.219090 12.976099),available
