facility_id,name,type,capacity,geo_wkt
FC001,Government Royapettah Hospital,hospital,700,POINT(80.270000 13.058200)
FC002,Velachery PHC,hospital,80,POINT(80.218900 12.979300)
FC003,Pallikaranai PHC,hospital,60,POINT(80.214800 12.937300)
FC004,Adyar Cancer Institute,hospital,450,POINT(80.224600 12.996500)
FC005,Guindy Medical College,hospital,340,POINT(80.215200 13.006300)
FC006,Saidapet Govt Hospital,hospital,150,POINT(80.222500 13.021800)
FC007,Velachery Community Shelter,shelter,400,POINT(80.219800 12.976500)
FC008,Pallikaranai Relief Camp,shelter,550,POINT(80.215500 12.934000)
FC009,Adyar School Shelter,shelter,300,POINT(80.255100 13.007200)
FC010,Guindy Relief Center,shelter,480,POINT(80.214300 13.009500)
