zone_id,locality,name,population,priority_children_elderly_pct,geo_wkt
Z001,Velachery,Velachery Sub-zone 1,48064,0.26,POINT(80.223327 12.979584)
Z002,Velachery,Velachery Sub-zone 2,26810,0.12,POINT(80.219251 12.969191)
Z003,Velachery,Velachery Sub-zone 3,35458,0.12,POINT(80.220586 12.971298)
Z004,Velachery,Velachery Sub-zone 4,33666,0.21,POINT(80.222898 12.970981)
Z005,Pallikaranai,Pallikaranai Sub-zone 1,9021,0.17,POINT(80.216870 12.939793)
Z006,Pallikaranai,Pallikaranai Sub-zone 2,12449,0.17,POINT(80.221015 12.929388)
Z007,Pallikaranai,Pallikaranai Sub-zone 3,14496,0.26,POINT(80.207247 12.928384)
Z008,Pallikaranai,Pallikaranai Sub-zone 4,7032,0.24,POINT(80.218614 12.936560)
Z009,Adyar,Adyar Sub-zone 1,22462,0.26,POINT(80.259296 13.011570)
Z010,Adyar,Adyar Sub-zone 2,30091,0.13,POINT(80.260673 13.007538)
Z011,Adyar,Adyar Sub-zone 3,19708,0.13,POINT(80.254030 13.001946)
Z012,Adyar,Adyar Sub-zone 4,22738,0.16,POINT(80.251016 13.002025)
Z013,Guindy,Guindy Sub-zone 1,18152,0.22,POINT(80.222686 13.006472)
Z014,Guindy,Guindy Sub-zone 2,14604,0.24,POINT(80.210438 13.011946)
Z015,Guindy,Guindy Sub-zone 3,14674,0.28,POINT(80.213771 13.004814)
Z016,Guindy,Guindy Sub-zone 4,12569,0.23,POINT(80.216611 13.012440)
Z017,Saidapet,Saidapet Sub-zone 1,17952,0.15,POINT(80.219384 13.018347)
Z018,Saidapet,Saidapet Sub-zone 2,17198,0.17,POINT(80.229122 13.028387)
Z019,Saidapet,Saidapet Sub-zone 3,11034,0.27,POINT(80.221430 13.023787)
Z020,Saidapet,Saidapet Sub-zone 4,8814,0.16,POINT(80.219338 13.020642)
